#type	charge(e)	radius(A)	epsilon(kJ.mol-1)	mass(Da)	transferIMP(kJ.mol-1.A-2
AC	0.5973	1.908	0.086	12.01	-0.0134
ACA	0.0337	1.908	0.1094	12.01	-0.105
ACB	-0.1825	1.908	0.1094	12.01	-0.105
AH	0.2719	0.6	0.0157	1.008	0.0362
AHA	0.0823	1.387	0.0157	1.008	-0.0397
AHB1	0.0603	1.487	0.0157	1.008	-0.0397
AHB2	0.0603	1.487	0.0157	1.008	-0.0397
AHB3	0.0603	1.487	0.0157	1.008	-0.0397
AN	-0.4157	1.824	0.17	14.01	0.112
AO	-0.5679	1.6612	0.21	16.0	0.0403
CC	0.5973	1.908	0.086	12.01	-0.0134
CCA	0.0213	1.908	0.1094	12.01	-0.105
CCB	-0.1231	1.908	0.1094	12.01	-0.105
CH	0.2719	0.6	0.0157	1.008	0.0362
CHA	0.1124	1.387	0.0157	1.008	-0.0397
CHB2	0.1112	1.387	0.0157	1.008	-0.0397
CHB3	0.1112	1.387	0.0157	1.008	-0.0397
CHG	0.1933	0.6	0.0157	1.008	0.0362
CN	-0.4157	1.824	0.17	14.01	0.112
CO	-0.5679	1.6612	0.21	16.0	0.0403
CSG	-0.3119	2.0	0.25	32.06	-0.108
DC	0.5366	1.908	0.086	12.01	-0.0134
DCA	0.0381	1.908	0.1094	12.01	-0.105
DCB	-0.0303	1.908	0.1094	12.01	-0.105
DCG	0.7994	1.908	0.086	12.01	-0.0134
DH	0.2936	0.6	0.0157	1.008	0.0362
DHA	0.088	1.387	0.0157	1.008	-0.0397
DHB2	-0.0122	1.487	0.0157	1.008	-0.0397
DHB3	-0.0122	1.487	0.0157	1.008	-0.0397
DN	-0.5163	1.824	0.17	14.01	0.112
DO	-0.5819	1.6612	0.21	16.0	0.0403
DOD1	-0.8014	1.6612	0.21	16.0	0.0403
DOD2	-0.8014	1.6612	0.21	16.0	0.0403
EC	0.5366	1.908	0.086	12.01	-0.0134
ECA	0.0397	1.908	0.1094	12.01	-0.105
ECB	0.056	1.908	0.1094	12.01	-0.105
ECD	0.8054	1.908	0.086	12.01	-0.0134
ECG	0.0136	1.908	0.1094	12.01	-0.105
EH	0.2936	0.6	0.0157	1.008	0.0362
EHA	0.1105	1.387	0.0157	1.008	-0.0397
EHB2	-0.0173	1.487	0.0157	1.008	-0.0397
EHB3	-0.0173	1.487	0.0157	1.008	-0.0397
EHG2	-0.0425	1.487	0.0157	1.008	-0.0397
EHG3	-0.0425	1.487	0.0157	1.008	-0.0397
EN	-0.5163	1.824	0.17	14.01	0.112
EO	-0.5819	1.6612	0.21	16.0	0.0403
EOE1	-0.8188	1.6612	0.21	16.0	0.0403
EOE2	-0.8188	1.6612	0.21	16.0	0.0403
FC	0.5973	1.908	0.086	12.01	-0.0134
FCA	-0.0024	1.908	0.1094	12.01	-0.105
FCB	-0.0343	1.908	0.1094	12.01	-0.105
FCD1	-0.1256	1.908	0.086	12.01	-0.0134
FCD2	-0.1256	1.908	0.086	12.01	-0.0134
FCE1	-0.1704	1.908	0.086	12.01	-0.0134
FCE2	-0.1704	1.908	0.086	12.01	-0.0134
FCG	0.0118	1.908	0.086	12.01	-0.0134
FCZ	-0.1072	1.908	0.086	12.01	-0.0134
FH	0.2719	0.6	0.0157	1.008	0.0362
FHA	0.0978	1.387	0.0157	1.008	-0.0397
FHB2	0.0295	1.487	0.0157	1.008	-0.0397
FHB3	0.0295	1.487	0.0157	1.008	-0.0397
FHD1	0.133	1.459	0.015	1.008	-0.0397
FHD2	0.133	1.459	0.015	1.008	-0.0397
FHE1	0.143	1.459	0.015	1.008	-0.0397
FHE2	0.143	1.459	0.015	1.008	-0.0397
FHZ	0.1297	1.459	0.015	1.008	-0.0397
FN	-0.4157	1.824	0.17	14.01	0.112
FO	-0.5679	1.6612	0.21	16.0	0.0403
GC	0.5973	1.908	0.086	12.01	-0.0134
GCA	-0.0252	1.908	0.1094	12.01	-0.105
GH	0.2719	0.6	0.0157	1.008	0.0362
GHA2	0.0698	1.387	0.0157	1.008	-0.0397
GHA3	0.0698	1.387	0.0157	1.008	-0.0397
GN	-0.4157	1.824	0.17	14.01	0.112
GO	-0.5679	1.6612	0.21	16.0	0.0403
HC	0.5973	1.908	0.086	12.01	-0.0134
HCA	0.0188	1.908	0.1094	12.01	-0.105
HCB	-0.0462	1.908	0.1094	12.01	-0.105
HCD2	0.1292	1.908	0.086	12.01	-0.0134
HCE1	0.2057	1.908	0.086	12.01	-0.0134
HCG	-0.0266	1.908	0.086	12.01	-0.0134
HH	0.2719	0.6	0.0157	1.008	0.0362
HHA	0.0881	1.387	0.0157	1.008	-0.0397
HHB2	0.0402	1.487	0.0157	1.008	-0.0397
HHB3	0.0402	1.487	0.0157	1.008	-0.0397
HHD1	0.3649	0.6	0.0157	1.008	0.0362
HHD2	0.1147	1.409	0.015	1.008	-0.0397
HHE1	0.1392	1.359	0.015	1.008	-0.0397
HN	-0.4157	1.824	0.17	14.01	0.112
HND1	-0.3811	1.824	0.17	14.01	0.112
HNE2	-0.5727	1.824	0.17	14.01	0.112
HO	-0.5679	1.6612	0.21	16.0	0.0403
IC	0.5973	1.908	0.086	12.01	-0.0134
ICA	-0.0597	1.908	0.1094	12.01	-0.105
ICB	0.1303	1.908	0.1094	12.01	-0.105
ICD1	-0.066	1.908	0.1094	12.01	-0.105
ICG1	-0.043	1.908	0.1094	12.01	-0.105
ICG2	-0.3204	1.908	0.1094	12.01	-0.105
IH	0.2719	0.6	0.0157	1.008	0.0362
IHA	0.0869	1.387	0.0157	1.008	-0.0397
IHB	0.0187	1.487	0.0157	1.008	-0.0397
IHD11	0.0186	1.487	0.0157	1.008	-0.0397
IHD12	0.0186	1.487	0.0157	1.008	-0.0397
IHD13	0.0186	1.487	0.0157	1.008	-0.0397
IHG12	0.0236	1.487	0.0157	1.008	-0.0397
